Tipo;Rank;Country;Documents;Citable documents;Citations;Self-citations;Citations per document;H index;%GDP;# Inv.Million;GDP;Pop;GDP capita;$ CyT;Inv. Totales;Doc/Inv;Doc/popx106;Doc/GDP;S CyT/doc;;;;;;;;;;;
A;1;United States;12070144;10701848;297655815;134368758;24,66;1373;2,74;4313;19485394000000;325084756;59939;533899795600;1402090,552628;7,63277948056996;32920,1778996983;5,49224100882949E-07;49888,5608915395;;Europa y America;;;;;;;;;Iberoamerica
A;3;United Kingdom;3449243;2935537;77355297;17558272;22,43;190;1,69;4430;2637866340434;66727461;39532;44579941153,3346;295602,65223;9,93068559383541;43992,9371806909;1,11284523973153E-06;15186,2985046125;;;;;;;;;;;
A;4;Germany;3019959;2787096;61262766;14946684;20,29;172;2,94;4893;3693204332230;82658409;4468;108580207367,562;404447,595237;6,89111774386198;33718,2391207167;7,5465523953751E-07;38958,1870762837;;%GDP-#Inv/M;;;;;;;;%GDP-#Inv/M;
A;6;France;2120161;1969558;42219660;8847163;19,91;1094;2,25;4307;2582501307216;64842509;39827;58106279412,36;279276,686263;7,05235380136683;30374,4878224869;7,62655180269098E-07;29502,1925794315;;;;;;;;;;;
A;7;Canada;1744508;1569064;39431612;6894236;22,6;1102;1,53;4552;1647120175449;36732095;44841;25200938684,3697;167204,49644;9,38410170424481;42716,4309577224;9,52610515849141E-07;16061,1285991965;;;;;;;;;;;
A;8;Italy;1744314;1587823;32252528;7441940;18,49;665;1,29;2131;1943835376342;60673701;32038;25075476354,8118;129295,656831;12,2805594473712;26169,872182348;8,16850551916613E-07;15792,3624703835;;;;;;;;;;;
A;14;Netherlands;966986;872993;25586850;3854314;26,46;129;2,03;4843;830572618850;17021347;48796;16860624162,655;82434,383521;10,5901562274388;51288,1266094863;1,05107365712192E-06;19313,5846022305;;;;;;;;;;;
A;16;Switzerland;710672;648991;19461396;2459376;27,38;825;3,37;5257;678965423322;8455804;80296;22881134765,9514;44452,161628;14,59976244645;76750,9511809876;9,55852798548499E-07;35256,4746906373;;;;;;;;;;;
A;18;Sweden;655869;604085;16383158;2356818;24,98;60;3,25;7153;535607385506;9904896;54075;17407240028,945;70849,721088;8,52628621148257;60988,5252707348;1,12785039255818E-06;28815,8786080518;;;;;;;;;;;
A;19;Poland;655485;627632;6683506;1685997;10,2;2;0,97;2158;526465839003;37953180;13871;5106718638,3291;81902,96244;7,66311719749804;16537,0069122008;1,19216092194811E-06;8136,48545378359;;;;;;;;;;;
A;21;Belgium;530736;486066;12126138;1562150;22,85;748;2,49;4734;494763551891;11419748;43325;12319612442,0859;54061,087032;8,99105117350464;42563,636255371;9,82420790986406E-07;25345,5548054912;;;;;;;;;;;
A;23;Denmark;393204;357963;10115806;1353641;25,73;705;2,87;7515;329865537183;5732274;57545;9467140917,1521;43078,03911;8,30964007172981;62446,9451390495;1,08517853382608E-06;26447,2610776871;;;;;;;;;;;
A;24;Austria;386992;353818;7959145;994419;20,57;620;3,09;5158;416835975862;8819901;47261;12880231654,1358;45493,049358;7,77740786764343;40115,8697813048;8,48818289420242E-07;36403,5511311912;;;;;;;;;;;
